epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,515.637,1.11707,1.02284,1.14636,0.72735,0.34008,0.38642,0.22094,1.85053,1.9387,1.50653,0.000858664,0.000858664,0.000858664
76,522.309,1.0861,0.99196,1.13902,0.66017,0.3214,0.3339,0.19299,1.53992,2.09044,1.42051,0.000855018,0.000855018,0.000855018
77,529.178,1.0964,1.01178,1.13336,0.48242,0.37826,0.35108,0.1856,1.67344,2.04173,1.47679,0.000851333,0.000851333,0.000851333
78,536.04,1.08599,1.015,1.13492,0.53648,0.29854,0.31799,0.14323,1.76855,1.79947,1.53262,0.000847611,0.000847611,0.000847611
79,542.797,1.10631,0.99702,1.14535,0.58183,0.35511,0.29327,0.15971,1.72575,1.81249,1.5124,0.000843851,0.000843851,0.000843851
80,549.576,1.098,0.98797,1.14511,0.50906,0.45295,0.35883,0.19002,1.68741,1.54044,1.39335,0.000840054,0.000840054,0.000840054
81,556.325,1.09888,0.97933,1.15061,0.66505,0.3902,0.39266,0.23195,1.61295,1.56381,1.41051,0.00083622,0.00083622,0.00083622
82,562.594,1.11925,0.99326,1.13797,0.64665,0.31266,0.35726,0.21409,1.82036,1.83306,1.71879,0.000832349,0.000832349,0.000832349
83,569.431,1.07219,0.97039,1.1445,0.6935,0.3796,0.42118,0.26545,1.75506,1.7412,1.4943,0.000828443,0.000828443,0.000828443
84,575.352,1.10478,0.99272,1.15062,0.56389,0.32882,0.33947,0.20189,1.65277,2.20269,1.41522,0.000824502,0.000824502,0.000824502
85,582.049,1.0741,0.9572,1.13351,0.66884,0.33289,0.36465,0.21211,1.65911,1.83223,1.49539,0.000820525,0.000820525,0.000820525
86,588.855,1.08034,0.9748,1.1204,0.53539,0.22544,0.29926,0.16882,1.56503,1.74483,1.38207,0.000816514,0.000816514,0.000816514
87,596.015,1.07287,0.95985,1.1382,0.60542,0.27913,0.30534,0.17254,1.75823,1.62914,1.55051,0.000812468,0.000812468,0.000812468
88,602.8,1.07897,0.95373,1.12392,0.57585,0.35083,0.38206,0.22498,1.6526,1.73541,1.46945,0.000808389,0.000808389,0.000808389
89,609.547,1.07614,0.92958,1.13031,0.6112,0.40286,0.37084,0.2212,1.61666,1.79015,1.45151,0.000804277,0.000804277,0.000804277
90,616.264,1.05788,0.92448,1.12545,0.61528,0.4057,0.37708,0.21263,1.673,1.66499,1.44455,0.000800131,0.000800131,0.000800131
91,623.097,1.04218,0.91154,1.11767,0.49208,0.34828,0.34687,0.19046,1.73102,1.76324,1.50791,0.000795954,0.000795954,0.000795954
92,629.977,1.04046,0.90008,1.12195,0.70301,0.37395,0.4989,0.26303,1.71516,1.58554,1.46695,0.000791744,0.000791744,0.000791744
93,637.174,1.07301,0.9209,1.11673,0.58932,0.34899,0.38578,0.19413,1.63925,1.77013,1.45956,0.000787503,0.000787503,0.000787503
94,643.901,1.07347,0.92378,1.12504,0.68316,0.38406,0.40845,0.2443,1.64484,1.69612,1.48946,0.000783231,0.000783231,0.000783231
95,650.638,1.0549,0.91315,1.12278,0.68587,0.38227,0.40458,0.2392,1.74945,1.60324,1.48939,0.000778929,0.000778929,0.000778929
96,657.061,1.04757,0.89362,1.1134,0.59562,0.32986,0.3548,0.18356,1.72589,1.82413,1.53314,0.000774596,0.000774596,0.000774596
97,663.423,1.0389,0.91129,1.10904,0.48417,0.3364,0.33304,0.17601,1.75114,1.8916,1.46278,0.000770234,0.000770234,0.000770234
98,670.214,1.03129,0.89395,1.10695,0.58218,0.37785,0.3526,0.20269,1.69515,1.82714,1.37995,0.000765843,0.000765843,0.000765843
99,677.508,1.0386,0.89204,1.09947,0.69296,0.32493,0.36673,0.21168,1.70851,1.66225,1.40246,0.000761423,0.000761423,0.000761423
100,684.223,1.00591,0.8638,1.09613,0.44963,0.40807,0.34916,0.19637,1.6796,1.72184,1.37702,0.000756976,0.000756976,0.000756976
101,690.81,1.02877,0.86946,1.10083,0.54411,0.34592,0.3232,0.16224,1.66439,1.88818,1.39191,0.0007525,0.0007525,0.0007525
102,697.602,1.02681,0.88986,1.11197,0.78367,0.27413,0.34356,0.18931,1.73725,1.76678,1.49438,0.000747997,0.000747997,0.000747997
103,704.439,1.03861,0.87443,1.10644,0.71601,0.29003,0.40758,0.20238,1.73146,1.75019,1.44436,0.000743468,0.000743468,0.000743468
104,711.273,1.01689,0.86008,1.08227,0.50973,0.41658,0.36091,0.22033,1.72826,1.76819,1.47248,0.000738913,0.000738913,0.000738913
105,718.297,1.01005,0.87424,1.09805,0.48009,0.38508,0.35744,0.21164,1.71254,1.63671,1.47604,0.000734332,0.000734332,0.000734332
106,724.681,1.00099,0.84981,1.0975,0.60678,0.34764,0.32115,0.17729,1.77986,1.65581,1.47712,0.000729725,0.000729725,0.000729725
107,730.862,1.01254,0.84025,1.09598,0.46819,0.43157,0.37587,0.22414,1.7392,2.02506,1.53853,0.000725094,0.000725094,0.000725094
108,737.51,1.00235,0.83251,1.09314,0.66808,0.30678,0.35055,0.19756,1.71442,1.68259,1.49429,0.000720439,0.000720439,0.000720439
109,744.41,0.97966,0.82271,1.08966,0.56029,0.34386,0.38548,0.22301,1.74775,1.8399,1.46848,0.000715761,0.000715761,0.000715761
110,750.294,0.98335,0.81641,1.07938,0.54388,0.39354,0.43469,0.25866,1.74424,1.77625,1.41743,0.000711059,0.000711059,0.000711059
111,757.11,0.98686,0.82718,1.09037,0.62139,0.35764,0.41184,0.22353,1.69825,1.53358,1.43469,0.000706335,0.000706335,0.000706335
112,763.273,0.99659,0.82817,1.07704,0.49731,0.46155,0.38285,0.20744,1.67964,1.6166,1.4418,0.000701588,0.000701588,0.000701588
113,770.078,0.98434,0.83672,1.08805,0.565,0.43684,0.39854,0.22558,1.70839,1.97658,1.45802,0.00069682,0.00069682,0.00069682
114,776.8,1.00183,0.82686,1.10089,0.37219,0.38958,0.30417,0.15727,1.81235,1.56028,1.46923,0.000692031,0.000692031,0.000692031
115,783.281,0.96429,0.80524,1.07137,0.54892,0.40773,0.34142,0.18346,1.62706,1.78378,1.44978,0.000687222,0.000687222,0.000687222
116,790.151,0.97204,0.81388,1.07519,0.61635,0.40794,0.44567,0.25828,1.67152,1.50972,1.41388,0.000682392,0.000682392,0.000682392
117,797.38,0.96358,0.79852,1.06752,0.58771,0.38401,0.4432,0.23503,1.71955,1.4614,1.44626,0.000677543,0.000677543,0.000677543
118,804.013,0.98806,0.81679,1.0718,0.46961,0.42826,0.38879,0.21296,1.67655,1.55263,1.40498,0.000672675,0.000672675,0.000672675
119,810.841,0.95773,0.79404,1.07711,0.67808,0.41498,0.51327,0.26732,1.67002,1.60473,1.45269,0.000667789,0.000667789,0.000667789
120,817.672,0.99279,0.81413,1.08061,0.75288,0.32036,0.36774,0.20102,1.72096,1.46024,1.48277,0.000662885,0.000662885,0.000662885
121,824.657,0.97792,0.79916,1.0777,0.47221,0.31252,0.30189,0.17493,1.77119,1.69542,1.49701,0.000657963,0.000657963,0.000657963
122,831.415,0.9518,0.791,1.06094,0.64279,0.3975,0.36896,0.2093,1.70797,1.68419,1.40908,0.000653025,0.000653025,0.000653025
123,838.232,0.94794,0.75935,1.05418,0.64505,0.35325,0.38607,0.21221,1.65284,1.47627,1.42187,0.000648071,0.000648071,0.000648071
124,845.25,0.95124,0.77364,1.06071,0.63094,0.34239,0.36766,0.217,1.68739,1.62266,1.4874,0.000643101,0.000643101,0.000643101
